Sales ID,Created At,Quantity,Gross Sales,Discount ($),Tax,Net Sales,Product ID,Product Name,Category,Customer ID,Customer Name,Customer City,Customer State,Customer Source
1,"2019-2-12, 04:40:27",2,53.07,0.00,5.31,47.76,14,Awesome Concrete Shoes,Widget,1,Hudson Borer,Wood River,NE,Twitter
2,"2018-5-15, 15:04:04",3,240.25,0.00,24.02,216.22,123,Mediocre Wooden Bench,Gizmo,1,Hudson Borer,Wood River,NE,Twitter
3,"2019-12-7, 05:22:48",2,71.79,6.42,6.54,58.83,105,Fantastic Wool Shirt,Gadget,1,Hudson Borer,Wood River,NE,Twitter
4,"2019-8-22, 23:30:42",6,460.02,0.00,46,414.02,94,Awesome Bronze Plate,Widget,1,Hudson Borer,Wood River,NE,Twitter
5,"2018-10-10, 10:34:47",5,448.77,0.00,44.88,403.89,132,Sleek Steel Table,Widget,1,Hudson Borer,Wood River,NE,Twitter
6,"2019-11-6, 23:38:50",3,60.47,0.00,6.05,54.42,60,Rustic Paper Car,Doohickey,1,Hudson Borer,Wood River,NE,Twitter
7,"2018-9-11, 18:22:26",5,330.68,0.00,33.07,297.61,55,Mediocre Rubber Shoes,Gadget,1,Hudson Borer,Wood River,NE,Twitter
8,"2019-6-17, 09:37:41",7,345.59,8.65,33.69,303.24,65,Ergonomic Silk Table,Widget,1,Hudson Borer,Wood River,NE,Twitter
9,"2017-5-3, 23:00:54",3,251.12,3.59,24.75,222.77,184,Practical Granite Plate,Widget,1,Hudson Borer,Wood River,NE,Twitter
10,"2020-1-17, 08:44:37",2,131.57,0.00,13.16,118.42,6,Small Marble Hat,Doohickey,1,Hudson Borer,Wood River,NE,Twitter
11,"2018-7-23, 03:31:01",6,255.6,0.00,25.56,230.04,76,Sleek Marble Clock,Widget,1,Hudson Borer,Wood River,NE,Twitter
12,"2018-6-27, 06:21:13",7,745.8,0.00,74.58,671.22,7,Aerodynamic Linen Coat,Doohickey,3,Lina Heaney,Sandstone,MN,Facebook
13,"2019-4-6, 08:04:43",2,81.76,2.12,7.96,71.68,70,Small Rubber Clock,Widget,3,Lina Heaney,Sandstone,MN,Facebook
14,"2017-5-26, 03:50:37",4,217.3,0.00,21.73,195.57,139,Lightweight Steel Watch,Doohickey,3,Lina Heaney,Sandstone,MN,Facebook
15,"2018-6-26, 09:24:38",5,398.37,0.00,39.84,358.53,116,Aerodynamic Concrete Bench,Gizmo,3,Lina Heaney,Sandstone,MN,Facebook
16,"2017-12-14, 18:28:30",1,79.05,0.00,7.91,71.15,68,Heavy-Duty Copper Toucan,Gizmo,3,Lina Heaney,Sandstone,MN,Facebook
17,"2020-2-6, 19:14:36",1,85.36,0.00,8.54,76.82,48,Gorgeous Concrete Chair,Gizmo,3,Lina Heaney,Sandstone,MN,Facebook
18,"2020-4-11, 06:29:46",2,164.2,0.00,16.42,147.78,12,Sleek Paper Toucan,Gizmo,3,Lina Heaney,Sandstone,MN,Facebook
19,"2019-2-14, 14:28:31",1,71.06,0.00,7.11,63.95,136,Mediocre Marble Lamp,Widget,3,Lina Heaney,Sandstone,MN,Facebook
20,"2018-4-21, 11:18:01",4,138.61,9.48,12.91,116.22,160,Lightweight Linen Hat,Gadget,3,Lina Heaney,Sandstone,MN,Facebook
21,"2018-5-2, 10:57:22",5,380.44,0.00,38.04,342.4,94,Awesome Bronze Plate,Widget,3,Lina Heaney,Sandstone,MN,Facebook
22,"2019-12-13, 04:32:01",1,32.15,6.75,2.54,22.86,10,Mediocre Wooden Table,Gizmo,4,Arnold Adams,Rye,CO,Google
23,"2019-6-2, 18:33:15",5,188.98,0.00,18.9,170.08,85,Rustic Copper Knife,Gizmo,4,Arnold Adams,Rye,CO,Google
24,"2019-9-21, 00:28:38",6,158.56,0.00,15.86,142.71,14,Awesome Concrete Shoes,Widget,4,Arnold Adams,Rye,CO,Google
25,"2019-12-21, 19:23:13",2,152.45,0.00,15.25,137.21,97,Durable Copper Clock,Doohickey,4,Arnold Adams,Rye,CO,Google
26,"2018-6-20, 09:18:00",5,353.41,0.00,35.34,318.07,40,Small Copper Plate,Gizmo,5,Dominique Leffler,Beaver Dams,NY,Twitter
27,"2019-4-28, 14:01:15",2,54.07,0.00,5.41,48.67,14,Awesome Concrete Shoes,Widget,6,Rene Muller,Morse,LA,Google
28,"2018-5-24, 01:15:24",4,368.33,9.15,35.92,323.27,49,Incredible Silk Shoes,Gadget,6,Rene Muller,Morse,LA,Google
29,"2018-3-8, 05:56:54",1,81.52,0.00,8.15,73.37,45,Sleek Wool Wallet,Doohickey,6,Rene Muller,Morse,LA,Google
30,"2019-4-15, 19:24:20",3,141.76,0.00,14.18,127.59,179,Incredible Linen Knife,Doohickey,6,Rene Muller,Morse,LA,Google
31,"2018-5-22, 11:28:04",6,533.43,0.00,53.34,480.09,191,Heavy-Duty Linen Gloves,Gadget,7,Roselyn Bosco,Leakesville,MS,Facebook
32,"2018-6-4, 12:11:15",7,298.13,0.00,29.81,268.32,82,Heavy-Duty Steel Watch,Gadget,7,Roselyn Bosco,Leakesville,MS,Facebook
33,"2019-6-18, 18:17:03",4,344.96,6.48,33.85,304.63,172,Practical Aluminum Table,Gizmo,7,Roselyn Bosco,Leakesville,MS,Facebook
34,"2019-1-5, 04:12:38",1,36.1,0.00,3.61,32.49,3,Synergistic Granite Chair,Doohickey,7,Roselyn Bosco,Leakesville,MS,Facebook
35,"2017-10-10, 08:37:18",5,211.38,0.00,21.14,190.24,21,Lightweight Wool Bag,Gadget,7,Roselyn Bosco,Leakesville,MS,Facebook
36,"2018-7-4, 07:34:31",4,164.56,0.00,16.46,148.1,145,Awesome Wool Bench,Gizmo,7,Roselyn Bosco,Leakesville,MS,Facebook
37,"2017-8-30, 19:40:52",4,218.79,0.00,21.88,196.91,17,Enormous Wool Car,Doohickey,7,Roselyn Bosco,Leakesville,MS,Facebook
38,"2018-7-26, 06:27:34",5,382.17,0.00,38.22,343.96,39,Durable Rubber Computer,Gizmo,7,Roselyn Bosco,Leakesville,MS,Facebook
39,"2018-5-9, 10:09:25",4,203.86,0.00,20.39,183.47,142,Ergonomic Marble Computer,Doohickey,7,Roselyn Bosco,Leakesville,MS,Facebook
40,"2019-11-22, 06:35:02",2,195.65,0.00,19.56,176.08,101,Durable Cotton Bench,Gadget,7,Roselyn Bosco,Leakesville,MS,Facebook
41,"2018-12-4, 07:08:37",2,109.94,0.00,10.99,98.95,51,Awesome Granite Car,Gizmo,7,Roselyn Bosco,Leakesville,MS,Facebook
42,"2019-11-16, 15:11:08",3,126.05,0.00,12.61,113.45,145,Awesome Wool Bench,Gizmo,7,Roselyn Bosco,Leakesville,MS,Facebook
43,"2019-11-4, 03:24:38",3,107.09,0.00,10.71,96.38,193,Ergonomic Plastic Bench,Gadget,8,Aracely Jenkins,Pittsburg,KS,Facebook
44,"2017-10-1, 21:47:29",6,560.47,0.00,56.05,504.43,101,Durable Cotton Bench,Gadget,8,Aracely Jenkins,Pittsburg,KS,Facebook
45,"2017-9-25, 07:11:10",5,425.91,0.00,42.59,383.32,141,Enormous Cotton Pants,Doohickey,8,Aracely Jenkins,Pittsburg,KS,Facebook
